pair_id,left_qid,right_qid,left_image_id,right_image_id,left_image_filename,right_image_filename,left_image_relative_path,right_image_relative_path,left_oss_url,right_oss_url,left_city,right_city,left_cluster,right_cluster,same_city,same_cluster,pair_type,left_right_random_seed,participant_slot,order_in_participant
PAIR_6810,Q113,Q141,CD_35670,CD_49995,Q113__cd_35670_104.0246616_30.71233343.jpg,Q141__cd_49995_104.0609725_30.60588696.jpg,images/Q113__cd_35670_104.0246616_30.71233343.jpg,images/Q141__cd_49995_104.0609725_30.60588696.jpg,,,chengdu,chengdu,18,22,True,False,same_city_cross_cluster,660867691,P_SLOT_001,1
PAIR_1308,Q500,Q498,CQ_3205369,CQ_640807,Q500__cq_3205369_106.565834_29.594722.jpg,Q498__cq_640807_106.478962_29.516474.jpg,images/Q500__cq_3205369_106.565834_29.594722.jpg,images/Q498__cq_640807_106.478962_29.516474.jpg,,,chongqing,chongqing,24,24,True,True,same_city_same_cluster,992137070,P_SLOT_001,2
PAIR_3276,Q458,Q104,CQ_629201,CD_469998,Q458__cq_629201_106.480125_29.525896.jpg,Q104__cd_469998_104.0499013_30.62035916.jpg,images/Q458__cq_629201_106.480125_29.525896.jpg,images/Q104__cd_469998_104.0499013_30.62035916.jpg,,,chongqing,chengdu,14,17,False,False,cross_city_cross_cluster,372412135,P_SLOT_001,3
PAIR_3210,Q059,Q207,CD_55607,CQ_629392,Q059__cd_55607_104.0437786_30.66574159.jpg,Q207__cq_629392_106.47811_29.500918.jpg,images/Q059__cd_55607_104.0437786_30.66574159.jpg,images/Q207__cq_629392_106.47811_29.500918.jpg,,,chengdu,chongqing,9,10,False,False,cross_city_cross_cluster,617283521,P_SLOT_001,4
PAIR_2042,Q351,Q466,CD_469218,CQ_629722,Q351__cd_469218_104.1124922_30.63843994.jpg,Q466__cq_629722_106.475187_29.48387.jpg,images/Q351__cd_469218_104.1124922_30.63843994.jpg,images/Q466__cq_629722_106.475187_29.48387.jpg,,,chengdu,chongqing,12,16,False,False,cross_city_cross_cluster,53279358,P_SLOT_001,5
PAIR_3009,Q123,Q490,CD_466922,CQ_3425032,Q123__cd_466922_104.0759301_30.61448398.jpg,Q490__cq_3425032_106.560052_29.543771.jpg,images/Q123__cd_466922_104.0759301_30.61448398.jpg,images/Q490__cq_3425032_106.560052_29.543771.jpg,,,chengdu,chongqing,20,22,False,False,cross_city_cross_cluster,144432563,P_SLOT_001,6
PAIR_5149,Q325,Q247,CD_464996,CQ_599182,Q325__cd_464996_104.0155993_30.62904742.jpg,Q247__cq_599182_106.45012_29.560037.jpg,images/Q325__cd_464996_104.0155993_30.62904742.jpg,images/Q247__cq_599182_106.45012_29.560037.jpg,,,chengdu,chongqing,6,16,False,False,cross_city_cross_cluster,914536350,P_SLOT_001,7
PAIR_6577,Q303,Q038,CD_471458,CD_422697,Q303__cd_471458_104.0735617_30.63370246.jpg,Q038__cd_422697_104.1528216_30.69238116.jpg,images/Q303__cd_471458_104.0735617_30.63370246.jpg,images/Q038__cd_422697_104.1528216_30.69238116.jpg,,,chengdu,chengdu,0,6,True,False,same_city_cross_cluster,163542256,P_SLOT_001,8
PAIR_7492,Q310,Q454,CD_220892,CQ_3148282,Q310__cd_220892_104.0936473_30.69099078.jpg,Q454__cq_3148282_106.528079_29.492025.jpg,images/Q310__cd_220892_104.0936473_30.69099078.jpg,images/Q454__cq_3148282_106.528079_29.492025.jpg,,,chengdu,chongqing,1,13,False,False,cross_city_cross_cluster,774686341,P_SLOT_001,9
PAIR_7241,Q356,Q281,CD_427583,CQ_3153415,Q356__cd_427583_104.1511161_30.70835436.jpg,Q281__cq_3153415_106.467213_29.525643.jpg,images/Q356__cd_427583_104.1511161_30.70835436.jpg,images/Q281__cq_3153415_106.467213_29.525643.jpg,,,chengdu,chongqing,13,22,False,False,cross_city_cross_cluster,346069740,P_SLOT_001,10
PAIR_0028,Q421,Q405,CQ_2433685,CQ_2436021,Q421__cq_2433685_106.501588_29.539292.jpg,Q405__cq_2436021_106.560443_29.506319.jpg,images/Q421__cq_2433685_106.501588_29.539292.jpg,images/Q405__cq_2436021_106.560443_29.506319.jpg,,,chongqing,chongqing,5,0,True,False,same_city_cross_cluster,214667984,P_SLOT_001,11
PAIR_1069,Q460,Q089,CQ_2434449,CD_420303,Q460__cq_2434449_106.537656_29.57606.jpg,Q089__cd_420303_104.0502884_30.72390416.jpg,images/Q460__cq_2434449_106.537656_29.57606.jpg,images/Q089__cd_420303_104.0502884_30.72390416.jpg,,,chongqing,chengdu,15,14,False,False,cross_city_cross_cluster,322487796,P_SLOT_001,12
PAIR_0841,Q469,Q413,CQ_686529,CQ_2431106,Q469__cq_686529_106.524892_29.503893.jpg,Q413__cq_2431106_106.547848_29.5394.jpg,images/Q469__cq_686529_106.524892_29.503893.jpg,images/Q413__cq_2431106_106.547848_29.5394.jpg,,,chongqing,chongqing,16,3,True,False,same_city_cross_cluster,404231595,P_SLOT_001,13
PAIR_2548,Q364,Q414,CD_96925,CQ_712241,Q364__cd_96925_104.0183805_30.69341749.jpg,Q414__cq_712241_106.555747_29.535232.jpg,images/Q364__cd_96925_104.0183805_30.69341749.jpg,images/Q414__cq_712241_106.555747_29.535232.jpg,,,chengdu,chongqing,16,3,False,False,cross_city_cross_cluster,833603826,P_SLOT_001,14
PAIR_4744,Q039,Q427,CD_427686,CQ_3308939,Q039__cd_427686_104.1511034_30.7041041.jpg,Q427__cq_3308939_106.584039_29.603334.jpg,images/Q039__cd_427686_104.1511034_30.7041041.jpg,images/Q427__cq_3308939_106.584039_29.603334.jpg,,,chengdu,chongqing,6,6,False,True,cross_city_same_cluster,829402669,P_SLOT_001,15
PAIR_2980,Q158,Q487,CQ_2432667,CQ_721943,Q158__cq_2432667_106.519462_29.529151.jpg,Q487__cq_721943_106.56549_29.494576.jpg,images/Q158__cq_2432667_106.519462_29.529151.jpg,images/Q487__cq_721943_106.56549_29.494576.jpg,,,chongqing,chongqing,1,22,True,False,same_city_cross_cluster,180471135,P_SLOT_001,16
PAIR_4093,Q459,Q248,CQ_715992,CQ_3161151,Q459__cq_715992_106.561427_29.598184.jpg,Q248__cq_3161151_106.497209_29.530996.jpg,images/Q459__cq_715992_106.561427_29.598184.jpg,images/Q248__cq_3161151_106.497209_29.530996.jpg,,,chongqing,chongqing,14,16,True,False,same_city_cross_cluster,780765693,P_SLOT_001,17
PAIR_1014,Q114,Q475,CD_413974,CQ_650177,Q114__cd_413974_104.0584653_30.72183277.jpg,Q475__cq_650177_106.49377_29.591686.jpg,images/Q114__cd_413974_104.0584653_30.72183277.jpg,images/Q475__cq_650177_106.49377_29.591686.jpg,,,chengdu,chongqing,18,18,False,True,cross_city_same_cluster,183366599,P_SLOT_001,18
PAIR_3532,Q077,Q218,CD_226782,CQ_2913763,Q077__cd_226782_104.090114_30.64526175.jpg,Q218__cq_2913763_106.514853_29.593525.jpg,images/Q077__cd_226782_104.090114_30.64526175.jpg,images/Q218__cq_2913763_106.514853_29.593525.jpg,,,chengdu,chongqing,12,12,False,True,cross_city_same_cluster,538359950,P_SLOT_001,19
PAIR_0006,Q204,Q337,CQ_3279619,CD_33792,Q204__cq_3279619_106.536164_29.438594.jpg,Q337__cd_33792_104.0522349_30.68192556.jpg,images/Q204__cq_3279619_106.536164_29.438594.jpg,images/Q337__cd_33792_104.0522349_30.68192556.jpg,,,chongqing,chengdu,9,9,False,True,cross_city_same_cluster,415063915,P_SLOT_001,20
PAIR_4132,Q030,Q423,CD_55201,CQ_677052,Q030__cd_55201_104.0635561_30.65438919.jpg,Q423__cq_677052_106.517499_29.579026.jpg,images/Q030__cd_55201_104.0635561_30.65438919.jpg,images/Q423__cq_677052_106.517499_29.579026.jpg,,,chengdu,chongqing,5,5,False,True,cross_city_same_cluster,584765829,P_SLOT_001,21
PAIR_7354,Q495,Q176,CQ_681349,CQ_3420983,Q495__cq_681349_106.521299_29.600925.jpg,Q176__cq_3420983_106.527629_29.489219.jpg,images/Q495__cq_681349_106.521299_29.600925.jpg,images/Q176__cq_3420983_106.527629_29.489219.jpg,,,chongqing,chongqing,23,4,True,False,same_city_cross_cluster,235042907,P_SLOT_001,22
PAIR_1504,Q090,Q237,CD_466034,CQ_3426144,Q090__cd_466034_104.0228454_30.62828327.jpg,Q237__cq_3426144_106.486124_29.526742.jpg,images/Q090__cd_466034_104.0228454_30.62828327.jpg,images/Q237__cq_3426144_106.486124_29.526742.jpg,,,chengdu,chongqing,14,15,False,False,cross_city_cross_cluster,99729807,P_SLOT_001,23
PAIR_3408,Q387,Q004,CD_472130,CD_478379,Q387__cd_472130_104.0318873_30.64212011.jpg,Q004__cd_478379_104.1359653_30.61482598.jpg,images/Q387__cd_472130_104.0318873_30.64212011.jpg,images/Q004__cd_478379_104.1359653_30.61482598.jpg,,,chengdu,chengdu,20,0,True,False,same_city_cross_cluster,798936464,P_SLOT_001,24
PAIR_7221,Q167,Q481,CQ_651518,CQ_696255,Q167__cq_651518_106.491332_29.49351.jpg,Q481__cq_696255_106.541086_29.563878.jpg,images/Q167__cq_651518_106.491332_29.49351.jpg,images/Q481__cq_696255_106.541086_29.563878.jpg,,,chongqing,chongqing,2,20,True,False,same_city_cross_cluster,838653512,P_SLOT_001,25
PAIR_6318,Q447,Q041,CQ_3420869,CD_222023,Q447__cq_3420869_106.541134_29.599774.jpg,Q041__cd_222023_104.0196819_30.6136203.jpg,images/Q447__cq_3420869_106.541134_29.599774.jpg,images/Q041__cd_222023_104.0196819_30.6136203.jpg,,,chongqing,chengdu,12,7,False,False,cross_city_cross_cluster,362801678,P_SLOT_001,26
PAIR_2297,Q088,Q456,CD_416908,CQ_624558,Q088__cd_416908_104.0795885_30.69722933.jpg,Q456__cq_624558_106.468249_29.52892.jpg,images/Q088__cd_416908_104.0795885_30.69722933.jpg,images/Q456__cq_624558_106.468249_29.52892.jpg,,,chengdu,chongqing,14,14,False,True,cross_city_same_cluster,362389841,P_SLOT_001,27
