qid,sample_origin,image_id,city,lon,lat,year_month_x,image_filename_original,source_image_path,streetclip_cluster_k25,distance_to_cluster_center_x,distance_layer,cluster_name_cn,questionnaire_image_filename,questionnaire_image_path,original_08B_image_id,replacement_detected,reported_replaced_by_user,reported_vs_detected,final_checked_image_filename,final_checked_image_path,sha256,year_month_y,image_filename,image_path,streetclip_source_path,distance_to_cluster_center_y,resolved_source_image_path,source_sha256,08D_flat_filename,08D_flat_path,final_image_filename,final_image_path,final_freeze_status,final_freeze_source_08D_run
Q001,existing_300,CD_221864,chengdu,103.9997959,30.62838486,202003,cd_221864_103.999795907_30.6283848631.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_221864_103.999795907_30.6283848631.jpg,0,0.2339299619197845,center,开敞混合主干路/绿化背景道路,Q001__cd_221864_103.9997959_30.62838486.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q001__cd_221864_103.9997959_30.62838486.jpg,CD_221864,False,False,not_applicable_existing_300,Q001__Q001_cd_221864_103.999795907_30.6283848631.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q001__Q001_cd_221864_103.999795907_30.6283848631.jpg,,202003,cd_221864_103.999795907_30.6283848631.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_221864_103.999795907_30.6283848631.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_221864_103.999795907_30.6283848631.jpg,0.2339299619197845,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q001__Q001_cd_221864_103.999795907_30.6283848631.jpg,667ba67cb3cab4c89b09757ec1b213279043fcba18ace6a5de096b6e878dfac5,Q001__cd_221864_103.9997959_30.62838486.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q001__cd_221864_103.9997959_30.62838486.jpg,Q001__cd_221864_103.9997959_30.62838486.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q001__cd_221864_103.9997959_30.62838486.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
Q002,existing_300,CD_32881,chengdu,104.1004167,30.71557227,202304,cd_32881_104.100416704_30.7155722739.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_32881_104.100416704_30.7155722739.jpg,0,0.2322474867105484,center,开敞混合主干路/绿化背景道路,Q002__cd_32881_104.1004167_30.71557227.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q002__cd_32881_104.1004167_30.71557227.jpg,CD_32881,False,False,not_applicable_existing_300,Q002__Q002_cd_32881_104.100416704_30.7155722739.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q002__Q002_cd_32881_104.100416704_30.7155722739.jpg,,202304,cd_32881_104.100416704_30.7155722739.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_32881_104.100416704_30.7155722739.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_32881_104.100416704_30.7155722739.jpg,0.2322474867105484,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q002__Q002_cd_32881_104.100416704_30.7155722739.jpg,26e87fb8b1cad17319c20ffb26dc08674cd639d604dc91547534f8aafb64fd26,Q002__cd_32881_104.1004167_30.71557227.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q002__cd_32881_104.1004167_30.71557227.jpg,Q002__cd_32881_104.1004167_30.71557227.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q002__cd_32881_104.1004167_30.71557227.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
Q003,existing_300,CD_417210,chengdu,104.0918842,30.68716627,202304,cd_417210_104.091884218_30.6871662698.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_417210_104.091884218_30.6871662698.jpg,0,0.2432238310575485,center,开敞混合主干路/绿化背景道路,Q003__cd_417210_104.0918842_30.68716627.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q003__cd_417210_104.0918842_30.68716627.jpg,CD_417210,False,False,not_applicable_existing_300,Q003__Q003_cd_417210_104.091884218_30.6871662698.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q003__Q003_cd_417210_104.091884218_30.6871662698.jpg,,202304,cd_417210_104.091884218_30.6871662698.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_417210_104.091884218_30.6871662698.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_417210_104.091884218_30.6871662698.jpg,0.2432238310575485,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q003__Q003_cd_417210_104.091884218_30.6871662698.jpg,3dc1d1da99ee83e3b575577731e43f1c81c7522bbad92b64ecf2a4cf5f60085a,Q003__cd_417210_104.0918842_30.68716627.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q003__cd_417210_104.0918842_30.68716627.jpg,Q003__cd_417210_104.0918842_30.68716627.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q003__cd_417210_104.0918842_30.68716627.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
Q004,existing_300,CD_478379,chengdu,104.1359653,30.61482598,202304,cd_478379_104.135965253_30.6148259809.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_478379_104.135965253_30.6148259809.jpg,0,0.3471705317497253,edge,开敞混合主干路/绿化背景道路,Q004__cd_478379_104.1359653_30.61482598.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q004__cd_478379_104.1359653_30.61482598.jpg,CD_478379,False,False,not_applicable_existing_300,Q004__Q004_cd_478379_104.135965253_30.6148259809.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q004__Q004_cd_478379_104.135965253_30.6148259809.jpg,,202304,cd_478379_104.135965253_30.6148259809.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_478379_104.135965253_30.6148259809.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_478379_104.135965253_30.6148259809.jpg,0.3471705317497253,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q004__Q004_cd_478379_104.135965253_30.6148259809.jpg,38d591d8c91bbf2ffd46c206f0ac7642191f54d879fb365d264c7f76c0300091,Q004__cd_478379_104.1359653_30.61482598.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q004__cd_478379_104.1359653_30.61482598.jpg,Q004__cd_478379_104.1359653_30.61482598.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q004__cd_478379_104.1359653_30.61482598.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
Q005,existing_300,CD_34346,chengdu,104.0491117,30.68947963,202203,cd_34346_104.049111706_30.6894796327.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_34346_104.049111706_30.6894796327.jpg,0,0.2826271057128906,middle,开敞混合主干路/绿化背景道路,Q005__cd_34346_104.0491117_30.68947963.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q005__cd_34346_104.0491117_30.68947963.jpg,CD_34346,False,False,not_applicable_existing_300,Q005__Q005_cd_34346_104.049111706_30.6894796327.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q005__Q005_cd_34346_104.049111706_30.6894796327.jpg,,202203,cd_34346_104.049111706_30.6894796327.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_34346_104.049111706_30.6894796327.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_34346_104.049111706_30.6894796327.jpg,0.2826271057128906,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q005__Q005_cd_34346_104.049111706_30.6894796327.jpg,01d8b9ae6006b0c82fb9f9dd64262964302d2edd263c6edb3ac9caccc62a3e2a,Q005__cd_34346_104.0491117_30.68947963.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q005__cd_34346_104.0491117_30.68947963.jpg,Q005__cd_34346_104.0491117_30.68947963.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q005__cd_34346_104.0491117_30.68947963.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
Q006,existing_300,CD_50290,chengdu,104.0392094,30.62038829,202303,cd_50290_104.03920936_30.6203882927.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_50290_104.03920936_30.6203882927.jpg,0,0.2883488833904266,edge,开敞混合主干路/绿化背景道路,Q006__cd_50290_104.0392094_30.62038829.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q006__cd_50290_104.0392094_30.62038829.jpg,CD_50290,False,False,not_applicable_existing_300,Q006__Q006_cd_50290_104.03920936_30.6203882927.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q006__Q006_cd_50290_104.03920936_30.6203882927.jpg,,202303,cd_50290_104.03920936_30.6203882927.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_50290_104.03920936_30.6203882927.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_50290_104.03920936_30.6203882927.jpg,0.2883488833904266,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q006__Q006_cd_50290_104.03920936_30.6203882927.jpg,15f4de6eea4e767147fdf7c866ad6eed7538df9d65a1dcb136814b0328ba6489,Q006__cd_50290_104.0392094_30.62038829.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q006__cd_50290_104.0392094_30.62038829.jpg,Q006__cd_50290_104.0392094_30.62038829.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q006__cd_50290_104.0392094_30.62038829.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
Q007,existing_300,CD_222881,chengdu,104.0791077,30.62285627,202303,cd_222881_104.079107657_30.6228562662.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_222881_104.079107657_30.6228562662.jpg,1,0.208321675658226,center,高架桥下/立交桥下遮蔽空间,Q007__cd_222881_104.0791077_30.62285627.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q007__cd_222881_104.0791077_30.62285627.jpg,CD_222881,False,False,not_applicable_existing_300,Q007__Q007_cd_222881_104.079107657_30.6228562662.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q007__Q007_cd_222881_104.079107657_30.6228562662.jpg,,202303,cd_222881_104.079107657_30.6228562662.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_222881_104.079107657_30.6228562662.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_222881_104.079107657_30.6228562662.jpg,0.208321675658226,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q007__Q007_cd_222881_104.079107657_30.6228562662.jpg,25f7bea69c9d69b3843391a8c3d2f3cfeec63649d6205ae2542b214ae09a6a53,Q007__cd_222881_104.0791077_30.62285627.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q007__cd_222881_104.0791077_30.62285627.jpg,Q007__cd_222881_104.0791077_30.62285627.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q007__cd_222881_104.0791077_30.62285627.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
Q008,existing_300,CD_222734,chengdu,104.0965224,30.62826857,202303,cd_222734_104.096522449_30.6282685716.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_222734_104.096522449_30.6282685716.jpg,1,0.2443741858005524,center,高架桥下/立交桥下遮蔽空间,Q008__cd_222734_104.0965224_30.62826857.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q008__cd_222734_104.0965224_30.62826857.jpg,CD_222734,False,False,not_applicable_existing_300,Q008__Q008_cd_222734_104.096522449_30.6282685716.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q008__Q008_cd_222734_104.096522449_30.6282685716.jpg,,202303,cd_222734_104.096522449_30.6282685716.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_222734_104.096522449_30.6282685716.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_222734_104.096522449_30.6282685716.jpg,0.2443741858005524,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q008__Q008_cd_222734_104.096522449_30.6282685716.jpg,e568b27e75dbcd52e82932b1f179f79184a003474c638a54f873df79c740605c,Q008__cd_222734_104.0965224_30.62826857.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q008__cd_222734_104.0965224_30.62826857.jpg,Q008__cd_222734_104.0965224_30.62826857.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q008__cd_222734_104.0965224_30.62826857.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
Q009,existing_300,CD_53457,chengdu,104.0234211,30.64420412,202303,cd_53457_104.023421144_30.644204119.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_53457_104.023421144_30.644204119.jpg,1,0.2559649348258972,middle,高架桥下/立交桥下遮蔽空间,Q009__cd_53457_104.0234211_30.64420412.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q009__cd_53457_104.0234211_30.64420412.jpg,CD_53457,False,False,not_applicable_existing_300,Q009__Q009_cd_53457_104.023421144_30.644204119.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q009__Q009_cd_53457_104.023421144_30.644204119.jpg,,202303,cd_53457_104.023421144_30.644204119.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_53457_104.023421144_30.644204119.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_53457_104.023421144_30.644204119.jpg,0.2559649348258972,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q009__Q009_cd_53457_104.023421144_30.644204119.jpg,fee4313cf7a5607abffcfb1841a604df9cf51e3aae715508da1a1c6c72c95438,Q009__cd_53457_104.0234211_30.64420412.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q009__cd_53457_104.0234211_30.64420412.jpg,Q009__cd_53457_104.0234211_30.64420412.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q009__cd_53457_104.0234211_30.64420412.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
Q010,existing_300,CD_222605,chengdu,104.0193801,30.66211743,202303,cd_222605_104.019380143_30.6621174291.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_222605_104.019380143_30.6621174291.jpg,1,0.2449343800544739,center,高架桥下/立交桥下遮蔽空间,Q010__cd_222605_104.0193801_30.66211743.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q010__cd_222605_104.0193801_30.66211743.jpg,CD_222605,False,False,not_applicable_existing_300,Q010__Q010_cd_222605_104.019380143_30.6621174291.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q010__Q010_cd_222605_104.019380143_30.6621174291.jpg,,202303,cd_222605_104.019380143_30.6621174291.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_222605_104.019380143_30.6621174291.jpg,D:\StreetView_Project\01_Data\Street_Images\chengdu\cd_streetview\cd_222605_104.019380143_30.6621174291.jpg,0.2449343800544739,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_300\02_images_main\_final_flat_300_for_check\Q010__Q010_cd_222605_104.019380143_30.6621174291.jpg,a5a07df60ff9e877fcd7fb87f04c256a2fe6fd630101722ce4e626abf22a56b3,Q010__cd_222605_104.0193801_30.66211743.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220\01_preliminary_flat_500\Q010__cd_222605_104.0193801_30.66211743.jpg,Q010__cd_222605_104.0193801_30.66211743.jpg,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08F_final500_freeze_run_20260728_145702\01_final_flat_500\Q010__cd_222605_104.0193801_30.66211743.jpg,frozen_08F,D:\StreetView_Project\03_Output\clip_knn\questionnaire_sample_k25_500_added_200\08D_spatial_visual_proximity_check_run_20260728_143220
