qid,image_id,image_filename,final_image_filename,image_relative_path,oss_url,city,lon,lat,streetclip_cluster_k25,image_file_exists_in_package
Q001,CD_221864,cd_221864_103.999795907_30.6283848631.jpg,Q001__cd_221864_103.9997959_30.62838486.jpg,images/Q001__cd_221864_103.9997959_30.62838486.jpg,,CD,103.9997959,30.62838486,0,True
Q002,CD_32881,cd_32881_104.100416704_30.7155722739.jpg,Q002__cd_32881_104.1004167_30.71557227.jpg,images/Q002__cd_32881_104.1004167_30.71557227.jpg,,CD,104.1004167,30.71557227,0,True
Q003,CD_417210,cd_417210_104.091884218_30.6871662698.jpg,Q003__cd_417210_104.0918842_30.68716627.jpg,images/Q003__cd_417210_104.0918842_30.68716627.jpg,,CD,104.0918842,30.68716627,0,True
Q004,CD_478379,cd_478379_104.135965253_30.6148259809.jpg,Q004__cd_478379_104.1359653_30.61482598.jpg,images/Q004__cd_478379_104.1359653_30.61482598.jpg,,CD,104.1359653,30.61482598,0,True
Q005,CD_34346,cd_34346_104.049111706_30.6894796327.jpg,Q005__cd_34346_104.0491117_30.68947963.jpg,images/Q005__cd_34346_104.0491117_30.68947963.jpg,,CD,104.0491117,30.68947963,0,True
Q006,CD_50290,cd_50290_104.03920936_30.6203882927.jpg,Q006__cd_50290_104.0392094_30.62038829.jpg,images/Q006__cd_50290_104.0392094_30.62038829.jpg,,CD,104.0392094,30.62038829,0,True
Q007,CD_222881,cd_222881_104.079107657_30.6228562662.jpg,Q007__cd_222881_104.0791077_30.62285627.jpg,images/Q007__cd_222881_104.0791077_30.62285627.jpg,,CD,104.0791077,30.62285627,1,True
Q008,CD_222734,cd_222734_104.096522449_30.6282685716.jpg,Q008__cd_222734_104.0965224_30.62826857.jpg,images/Q008__cd_222734_104.0965224_30.62826857.jpg,,CD,104.0965224,30.62826857,1,True
Q009,CD_53457,cd_53457_104.023421144_30.644204119.jpg,Q009__cd_53457_104.0234211_30.64420412.jpg,images/Q009__cd_53457_104.0234211_30.64420412.jpg,,CD,104.0234211,30.64420412,1,True
Q010,CD_222605,cd_222605_104.019380143_30.6621174291.jpg,Q010__cd_222605_104.0193801_30.66211743.jpg,images/Q010__cd_222605_104.0193801_30.66211743.jpg,,CD,104.0193801,30.66211743,1,True
Q011,CD_464027,cd_464027_104.052789081_30.6113649999.jpg,Q011__cd_464027_104.0527891_30.611365.jpg,images/Q011__cd_464027_104.0527891_30.611365.jpg,,CD,104.0527891,30.611365,1,True
Q012,CD_53958,cd_53958_104.099153423_30.6353304424.jpg,Q012__cd_53958_104.0991534_30.63533044.jpg,images/Q012__cd_53958_104.0991534_30.63533044.jpg,,CD,104.0991534,30.63533044,1,True
Q013,CD_35249,cd_35249_104.014858957_30.6735232166.jpg,Q013__cd_35249_104.014859_30.67352322.jpg,images/Q013__cd_35249_104.014859_30.67352322.jpg,,CD,104.014859,30.67352322,1,True
Q014,CD_420939,cd_420939_104.046263034_30.7087512282.jpg,Q014__cd_420939_104.046263_30.70875123.jpg,images/Q014__cd_420939_104.046263_30.70875123.jpg,,CD,104.046263,30.70875123,2,True
Q015,CD_421054,cd_421054_104.026999127_30.6919058896.jpg,Q015__cd_421054_104.0269991_30.69190589.jpg,images/Q015__cd_421054_104.0269991_30.69190589.jpg,,CD,104.0269991,30.69190589,2,True
Q016,CD_461159,cd_461159_103.996211893_30.6381811608.jpg,Q016__cd_461159_103.9962119_30.63818116.jpg,images/Q016__cd_461159_103.9962119_30.63818116.jpg,,CD,103.9962119,30.63818116,2,True
Q017,CD_473004,cd_473004_104.087284544_30.6528862985.jpg,Q017__cd_473004_104.0872845_30.6528863.jpg,images/Q017__cd_473004_104.0872845_30.6528863.jpg,,CD,104.0872845,30.6528863,2,True
Q018,CD_463463,cd_463463_104.003961568_30.652569165.jpg,Q018__cd_463463_104.0039616_30.65256917.jpg,images/Q018__cd_463463_104.0039616_30.65256917.jpg,,CD,104.0039616,30.65256917,2,True
Q019,CD_472257,cd_472257_104.060367304_30.6373516831.jpg,Q019__cd_472257_104.0603673_30.63735168.jpg,images/Q019__cd_472257_104.0603673_30.63735168.jpg,,CD,104.0603673,30.63735168,2,True
Q020,CD_53749,cd_53749_104.115700637_30.6570014825.jpg,Q020__cd_53749_104.1157006_30.65700148.jpg,images/Q020__cd_53749_104.1157006_30.65700148.jpg,,CD,104.1157006,30.65700148,3,True
Q021,CD_56113,cd_56113_104.129529233_30.6496968174.jpg,Q021__cd_56113_104.1295292_30.64969682.jpg,images/Q021__cd_56113_104.1295292_30.64969682.jpg,,CD,104.1295292,30.64969682,3,True
Q022,CD_52896,cd_52896_104.052180715_30.6235295448.jpg,Q022__cd_52896_104.0521807_30.62352954.jpg,images/Q022__cd_52896_104.0521807_30.62352954.jpg,,CD,104.0521807,30.62352954,3,True
Q023,CD_39480,cd_39480_104.150059287_30.6905185637.jpg,Q023__cd_39480_104.1500593_30.69051856.jpg,images/Q023__cd_39480_104.1500593_30.69051856.jpg,,CD,104.1500593,30.69051856,3,True
Q024,CD_472735,cd_472735_104.078331867_30.6582408094.jpg,Q024__cd_472735_104.0783319_30.65824081.jpg,images/Q024__cd_472735_104.0783319_30.65824081.jpg,,CD,104.0783319,30.65824081,4,True
Q025,CD_58400,cd_58400_104.136683084_30.6383480185.jpg,Q025__cd_58400_104.1366831_30.63834802.jpg,images/Q025__cd_58400_104.1366831_30.63834802.jpg,,CD,104.1366831,30.63834802,4,True
Q026,CD_58409,cd_58409_104.134745364_30.633939657.jpg,Q026__cd_58409_104.1347454_30.63393966.jpg,images/Q026__cd_58409_104.1347454_30.63393966.jpg,,CD,104.1347454,30.63393966,4,True
Q027,CD_40080,cd_40080_104.132001043_30.6736365556.jpg,Q027__cd_40080_104.132001_30.67363656.jpg,images/Q027__cd_40080_104.132001_30.67363656.jpg,,CD,104.132001,30.67363656,4,True
Q028,CD_55414,cd_55414_104.063204632_30.6463114514.jpg,Q028__cd_55414_104.0632046_30.64631145.jpg,images/Q028__cd_55414_104.0632046_30.64631145.jpg,,CD,104.0632046,30.64631145,5,True
Q029,CD_33782,cd_33782_104.043463768_30.6827972367.jpg,Q029__cd_33782_104.0434638_30.68279724.jpg,images/Q029__cd_33782_104.0434638_30.68279724.jpg,,CD,104.0434638,30.68279724,5,True
Q030,CD_55201,cd_55201_104.063556097_30.6543891924.jpg,Q030__cd_55201_104.0635561_30.65438919.jpg,images/Q030__cd_55201_104.0635561_30.65438919.jpg,,CD,104.0635561,30.65438919,5,True
Q031,CD_468473,cd_468473_104.095951588_30.6246889605.jpg,Q031__cd_468473_104.0959516_30.62468896.jpg,images/Q031__cd_468473_104.0959516_30.62468896.jpg,,CD,104.0959516,30.62468896,5,True
Q032,CD_473461,cd_473461_104.065930923_30.6607407796.jpg,Q032__cd_473461_104.0659309_30.66074078.jpg,images/Q032__cd_473461_104.0659309_30.66074078.jpg,,CD,104.0659309,30.66074078,5,True
Q033,CD_96711,cd_96711_104.076939145_30.677436256.jpg,Q033__cd_96711_104.0769391_30.67743626.jpg,images/Q033__cd_96711_104.0769391_30.67743626.jpg,,CD,104.0769391,30.67743626,5,True
Q034,CD_479896,cd_479896_104.140031562_30.6603315168.jpg,Q034__cd_479896_104.1400316_30.66033152.jpg,images/Q034__cd_479896_104.1400316_30.66033152.jpg,,CD,104.1400316,30.66033152,6,True
Q035,CD_411547,cd_411547_104.121929929_30.7005412587.jpg,Q035__cd_411547_104.1219299_30.70054126.jpg,images/Q035__cd_411547_104.1219299_30.70054126.jpg,,CD,104.1219299,30.70054126,6,True
Q036,CD_424456,cd_424456_104.152387511_30.6926864439.jpg,Q036__cd_424456_104.1523875_30.69268644.jpg,images/Q036__cd_424456_104.1523875_30.69268644.jpg,,CD,104.1523875,30.69268644,6,True
Q037,CD_424761,cd_424761_104.127894944_30.6704732401.jpg,Q037__cd_424761_104.1278949_30.67047324.jpg,images/Q037__cd_424761_104.1278949_30.67047324.jpg,,CD,104.1278949,30.67047324,6,True
Q038,CD_422697,cd_422697_104.152821616_30.6923811621.jpg,Q038__cd_422697_104.1528216_30.69238116.jpg,images/Q038__cd_422697_104.1528216_30.69238116.jpg,,CD,104.1528216,30.69238116,6,True
Q039,CD_427686,cd_427686_104.151103382_30.7041041019.jpg,Q039__cd_427686_104.1511034_30.7041041.jpg,images/Q039__cd_427686_104.1511034_30.7041041.jpg,,CD,104.1511034,30.7041041,6,True
Q040,CD_463225,cd_463225_104.060964014_30.6015719051.jpg,Q040__cd_463225_104.060964_30.60157191.jpg,images/Q040__cd_463225_104.060964_30.60157191.jpg,,CD,104.060964,30.60157191,7,True
Q041,CD_222023,cd_222023_104.019681942_30.6136203009.jpg,Q041__cd_222023_104.0196819_30.6136203.jpg,images/Q041__cd_222023_104.0196819_30.6136203.jpg,,CD,104.0196819,30.6136203,7,True
Q042,CD_419642,cd_419642_104.050502098_30.7227426594.jpg,Q042__cd_419642_104.0505021_30.72274266.jpg,images/Q042__cd_419642_104.0505021_30.72274266.jpg,,CD,104.0505021,30.72274266,7,True
Q043,CD_221646,cd_221646_104.159512716_30.683988925.jpg,Q043__cd_221646_104.1595127_30.68398893.jpg,images/Q043__cd_221646_104.1595127_30.68398893.jpg,,CD,104.1595127,30.68398893,7,True
Q044,CD_34200,cd_34200_104.095626935_30.6752275092.jpg,Q044__cd_34200_104.0956269_30.67522751.jpg,images/Q044__cd_34200_104.0956269_30.67522751.jpg,,CD,104.0956269,30.67522751,7,True
Q045,CD_48963,cd_48963_104.035715313_30.6051583466.jpg,Q045__cd_48963_104.0357153_30.60515835.jpg,images/Q045__cd_48963_104.0357153_30.60515835.jpg,,CD,104.0357153,30.60515835,7,True
Q046,CD_462116,cd_462116_103.994818858_30.6464694967.jpg,Q046__cd_462116_103.9948189_30.6464695.jpg,images/Q046__cd_462116_103.9948189_30.6464695.jpg,,CD,103.9948189,30.6464695,7,True
Q047,CD_416701,cd_416701_104.093640805_30.6898844894.jpg,Q047__cd_416701_104.0936408_30.68988449.jpg,images/Q047__cd_416701_104.0936408_30.68988449.jpg,,CD,104.0936408,30.68988449,7,True
Q048,CD_468205,cd_468205_104.075526645_30.6076721445.jpg,Q048__cd_468205_104.0755266_30.60767214.jpg,images/Q048__cd_468205_104.0755266_30.60767214.jpg,,CD,104.0755266,30.60767214,8,True
Q049,CD_470364,cd_470364_104.10931853_30.6595612371.jpg,Q049__cd_470364_104.1093185_30.65956124.jpg,images/Q049__cd_470364_104.1093185_30.65956124.jpg,,CD,104.1093185,30.65956124,8,True
Q050,CD_412089,cd_412089_104.088397586_30.7019479283.jpg,Q050__cd_412089_104.0883976_30.70194793.jpg,images/Q050__cd_412089_104.0883976_30.70194793.jpg,,CD,104.0883976,30.70194793,8,True
Q051,CD_414222,cd_414222_104.04851781_30.6844839428.jpg,Q051__cd_414222_104.0485178_30.68448394.jpg,images/Q051__cd_414222_104.0485178_30.68448394.jpg,,CD,104.0485178,30.68448394,8,True
